,Numero_Proyecto_Ley,Título,Sumilla,Etiqueta,Texto
10,9890,LEY QUE RESTRINGE EL INGRESO DE DEUDORES ALIMENTARIOS A EVENTOS DEPORTIVOS Y ESPECTÁCULOS DE ENTRETENIMIENTO,"PROPONE INCORPORAR LOS ARTÍCULOS 10,11 Y 12 DE LA LEY 28970, LEY QUE CREA  EL REGISTRO DE DEUDORES ALIMENTARIOS MOROSOS",POSITIVO,"LEY QUE RESTRINGE EL INGRESO DE DEUDORES ALIMENTARIOS A EVENTOS DEPORTIVOS Y ESPECTÁCULOS DE ENTRETENIMIENTO PROPONE INCORPORAR LOS ARTÍCULOS 10,11 Y 12 DE LA LEY 28970, LEY QUE CREA  EL REGISTRO DE DEUDORES ALIMENTARIOS MOROSOS"
11,4854,"""LEY QUE AUTORIZA LA DEVOLUCIÓN DEL COBRO DEL CONCEPTO DE CARGO FIJO DEL SERVICIO DE ELECTRICIDAD, REALIZADO EN LOS MESES DE MARZO, ABRIL, MAYO Y JUNIO DEL AÑO 2020.""","""PROPONE AUTORIZAR LA DEVOLUCIÓN DEL COBRO DEL CONCEPTO DE CARGO FIJO DEL SERVICIO DE ELECTRICIDAD, REALIZADO EN LOS MESES DE MARZO, ABRIL, MAYO Y JUNIO DEL AÑO 2020.""",POSITIVO,"""LEY QUE AUTORIZA LA DEVOLUCIÓN DEL COBRO DEL CONCEPTO DE CARGO FIJO DEL SERVICIO DE ELECTRICIDAD, REALIZADO EN LOS MESES DE MARZO, ABRIL, MAYO Y JUNIO DEL AÑO 2020."" ""PROPONE AUTORIZAR LA DEVOLUCIÓN DEL COBRO DEL CONCEPTO DE CARGO FIJO DEL SERVICIO DE ELECTRICIDAD, REALIZADO EN LOS MESES DE MARZO, ABRIL, MAYO Y JUNIO DEL AÑO 2020."""
12,6492,"""LEY QUE AUTORIZA, POR ÚNICA VEZ Y DE MANERA EXCEPCIONAL, EL NOMBRAMIENTO A PERSONAL CAS DEL MINISTERIO DE SALUD, QUE FUE RETIRADO DEL REGISTRO EN EL AIRHSP""","""PROPONE LEY QUE AUTORIZA, POR ÚNICA VEZ Y DE MANERA EXCEPCIONAL, EL NOMBRAMIENTO A PERSONAL CAS DEL MINISTERIO DE SALUD, QUE FUE RETIRADO DEL REGISTRO EN EL AIRHSP""",POSITIVO,"""LEY QUE AUTORIZA, POR ÚNICA VEZ Y DE MANERA EXCEPCIONAL, EL NOMBRAMIENTO A PERSONAL CAS DEL MINISTERIO DE SALUD, QUE FUE RETIRADO DEL REGISTRO EN EL AIRHSP"" ""PROPONE LEY QUE AUTORIZA, POR ÚNICA VEZ Y DE MANERA EXCEPCIONAL, EL NOMBRAMIENTO A PERSONAL CAS DEL MINISTERIO DE SALUD, QUE FUE RETIRADO DEL REGISTRO EN EL AIRHSP"""
13,9713,"""LEY QUE CREA EL SISTEMA NACIONAL DE VIDEOVIGILANCIA""","PROPONE CREAR EL SISTEMA NACIONAL DE VIDEOVIGILANCIA CON INTELIGENCIA ARTIFICIAL PARA EL RECONOCIMIENTO BIOMÉTRICO Y EL FONDO DEL SISTEMA NACIONAL DE VIDEOVIGILANCIA, MEDIDA ORIENTADA A FORTALECER LA LUCHA CONTRA LA INSEGURIDAD CIUDADANA EN EL PAÍS A TRAVÉS DE LA DISUASIÓN Y LA INVESTIGACIÓN EN CASOS DE COMISIÓN DE FALTAS Y/O DELITOS.",POSITIVO,"""LEY QUE CREA EL SISTEMA NACIONAL DE VIDEOVIGILANCIA"" PROPONE CREAR EL SISTEMA NACIONAL DE VIDEOVIGILANCIA CON INTELIGENCIA ARTIFICIAL PARA EL RECONOCIMIENTO BIOMÉTRICO Y EL FONDO DEL SISTEMA NACIONAL DE VIDEOVIGILANCIA, MEDIDA ORIENTADA A FORTALECER LA LUCHA CONTRA LA INSEGURIDAD CIUDADANA EN EL PAÍS A TRAVÉS DE LA DISUASIÓN Y LA INVESTIGACIÓN EN CASOS DE COMISIÓN DE FALTAS Y/O DELITOS."
14,8372,"""LEY QUE DECLARA DE NECESIDAD PÚBLICA LA CREACIÓN DEL GRUPO IMPULSOR MULTISECTORIAL PARA LA ELABORACIÓN E IMPLEMENTACIÓN DEL PLAN ESTRATÉGICO DE DESARROLLO POR LOS 100 AÑOS DE LA REINCORPORACIÓN DE TACNA, A LA HEREDAD NACIONAL""","El objeto de la presente ley es impulsar la elaboración e implementación del ""Plan estratégico de desarrollo por los 100 años de la reincorporación de Tacna a la heredad nacional"".",POSITIVO,"""LEY QUE DECLARA DE NECESIDAD PÚBLICA LA CREACIÓN DEL GRUPO IMPULSOR MULTISECTORIAL PARA LA ELABORACIÓN E IMPLEMENTACIÓN DEL PLAN ESTRATÉGICO DE DESARROLLO POR LOS 100 AÑOS DE LA REINCORPORACIÓN DE TACNA, A LA HEREDAD NACIONAL"" El objeto de la presente ley es impulsar la elaboración e implementación del ""Plan estratégico de desarrollo por los 100 años de la reincorporación de Tacna a la heredad nacional""."
15,4900,"""LEY QUE DECLARA LA IMPRESCRIPTIBILIDAD DEL DELITO DE OMISIÓN DE ASISTENCIA FAMILIAR""","""PROPONE DECLARAR LA IMPRESCRIPTIBILIDAD DEL DELITO DE OMISIÓN DE ASISTENCIA FAMILIAR""",POSITIVO,"""LEY QUE DECLARA LA IMPRESCRIPTIBILIDAD DEL DELITO DE OMISIÓN DE ASISTENCIA FAMILIAR"" ""PROPONE DECLARAR LA IMPRESCRIPTIBILIDAD DEL DELITO DE OMISIÓN DE ASISTENCIA FAMILIAR"""
16,5493,"""LEY QUE DISPONE LA EXONERACIÓN DE PAGO DE TASAS REGISTRALES Y DERECHOS DE TRAMITACIÓN A FAVOR DE LOS GOBIERNOS REGIONALES EN LOS PROCESOS DE SANEAMIENTO FÍSICO LEGAL, DE LA LEY 31145""","""PROPONE DISPONER LA EXONERACIÓN DE PAGO DE TASAS REGISTRALES Y DERECHOS DE TRAMITACIÓN A FAVOR DE LOS GOBIERNOS REGIONALES EN LOS PROCESOS DE SANEAMIENTO FÍSICO LEGAL, DE LA LEY 31145""",POSITIVO,"""LEY QUE DISPONE LA EXONERACIÓN DE PAGO DE TASAS REGISTRALES Y DERECHOS DE TRAMITACIÓN A FAVOR DE LOS GOBIERNOS REGIONALES EN LOS PROCESOS DE SANEAMIENTO FÍSICO LEGAL, DE LA LEY 31145"" ""PROPONE DISPONER LA EXONERACIÓN DE PAGO DE TASAS REGISTRALES Y DERECHOS DE TRAMITACIÓN A FAVOR DE LOS GOBIERNOS REGIONALES EN LOS PROCESOS DE SANEAMIENTO FÍSICO LEGAL, DE LA LEY 31145"""
17,7693,"""LEY QUE ESTABLECE LA ACTIVACIÓN DE TERAPIA FAMILIAR AL INICIAR UN PROCESO DE DIVORCIO, TENENCIA Y/0 TENENCIA COMPARTIDA""","La presente Ley tiene por objeto establecer la obligatoriedad de la activación de terapia familiar al iniciar un proceso de divorcio, tenencia y/o tenencia compartida con el fin de proteger la salud mental de los hijos, promoviendo la conciliación, el diálogo y el bienestar emocional de los miembros de la familia.",POSITIVO,"""LEY QUE ESTABLECE LA ACTIVACIÓN DE TERAPIA FAMILIAR AL INICIAR UN PROCESO DE DIVORCIO, TENENCIA Y/0 TENENCIA COMPARTIDA"" La presente Ley tiene por objeto establecer la obligatoriedad de la activación de terapia familiar al iniciar un proceso de divorcio, tenencia y/o tenencia compartida con el fin de proteger la salud mental de los hijos, promoviendo la conciliación, el diálogo y el bienestar emocional de los miembros de la familia."
18,4732,"""LEY QUE ESTABLECE LA CREACIÓN DE UN PROGRAMA NACIONAL DE ALERTA TEMPRANA PARA LA PREVENCIÓN DE LA VIOLENCIA SEXUAL CONTRA NIÑOS NIÑAS Y ADOLECENTES.""","""PROPONE ESTABLECER LA CREACIÓN DE UN PROGRAMA NACIONAL DE ALERTA TEMPRANA PARA LA PREVENCIÓN DE LA VIOLENCIA SEXUAL CONTRA NIÑOS NIÑAS Y ADOLECENTES.""",POSITIVO,"""LEY QUE ESTABLECE LA CREACIÓN DE UN PROGRAMA NACIONAL DE ALERTA TEMPRANA PARA LA PREVENCIÓN DE LA VIOLENCIA SEXUAL CONTRA NIÑOS NIÑAS Y ADOLECENTES."" ""PROPONE ESTABLECER LA CREACIÓN DE UN PROGRAMA NACIONAL DE ALERTA TEMPRANA PARA LA PREVENCIÓN DE LA VIOLENCIA SEXUAL CONTRA NIÑOS NIÑAS Y ADOLECENTES."""
19,4839,"""LEY QUE ESTABLECE UN RÉGIMEN ESPECIAL PARA LA RESTITUCIÓN DEL PATRIMONIO DE LOS APORTANTES ACTIVOS E INACTIVOS DE LA EX ASOCIACIÓN MUTUALISTA MAGISTERIAL"".","""PROPONE ESTABLECER UN RÉGIMEN ESPECIAL PARA LA RESTITUCIÓN DEL PATRIMONIO DE LOS APORTANTES ACTIVOS E INACTIVOS DE LA EX ASOCIACIÓN MUTUALISTA MAGISTERIAL"".",POSITIVO,"""LEY QUE ESTABLECE UN RÉGIMEN ESPECIAL PARA LA RESTITUCIÓN DEL PATRIMONIO DE LOS APORTANTES ACTIVOS E INACTIVOS DE LA EX ASOCIACIÓN MUTUALISTA MAGISTERIAL"". ""PROPONE ESTABLECER UN RÉGIMEN ESPECIAL PARA LA RESTITUCIÓN DEL PATRIMONIO DE LOS APORTANTES ACTIVOS E INACTIVOS DE LA EX ASOCIACIÓN MUTUALISTA MAGISTERIAL""."
20,5496,"""LEY QUE FORTALECE EL PROCESO DE FORMALIZACIÓN DE LAS EMBARCACIONES PESQUERAS ARTESANALES""","""PROPONEE FORTALECER EL PROCESO DE FORMALIZACIÓN DE LAS EMBARCACIONES PESQUERAS ARTESANALES""",POSITIVO,"""LEY QUE FORTALECE EL PROCESO DE FORMALIZACIÓN DE LAS EMBARCACIONES PESQUERAS ARTESANALES"" ""PROPONEE FORTALECER EL PROCESO DE FORMALIZACIÓN DE LAS EMBARCACIONES PESQUERAS ARTESANALES"""
21,4122,"""LEY QUE MODIFICA EL ARTÍCULO 1, DEL DECRETO SUPREMO N° 278-2012-EF, Y APRUEBA EL INCREMENTO DE LA NUEVA ESCALA DE ASIGNACIÓN ECONÓMICA MENSUAL PARA EL PERSONAL QUE SE ENCUENTRA CUMPLIENDO EL SERVICIO MILITAR ACUARTELADO EN LOS INSTITUTOS DE LAS FUERZAS ARMADAS""","""PROPONE MODIFICAR EL ARTÍCULO 1, DEL DECRETO SUPREMO N° 278-2012-EF, Y APRUEBA EL INCREMENTO DE LA NUEVA ESCALA DE ASIGNACIÓN ECONÓMICA MENSUAL PARA EL PERSONAL QUE SE ENCUENTRA CUMPLIENDO EL SERVICIO MILITAR ACUARTELADO EN LOS INSTITUTOS DE LAS FUERZAS ARMADAS""",POSITIVO,"""LEY QUE MODIFICA EL ARTÍCULO 1, DEL DECRETO SUPREMO N° 278-2012-EF, Y APRUEBA EL INCREMENTO DE LA NUEVA ESCALA DE ASIGNACIÓN ECONÓMICA MENSUAL PARA EL PERSONAL QUE SE ENCUENTRA CUMPLIENDO EL SERVICIO MILITAR ACUARTELADO EN LOS INSTITUTOS DE LAS FUERZAS ARMADAS"" ""PROPONE MODIFICAR EL ARTÍCULO 1, DEL DECRETO SUPREMO N° 278-2012-EF, Y APRUEBA EL INCREMENTO DE LA NUEVA ESCALA DE ASIGNACIÓN ECONÓMICA MENSUAL PARA EL PERSONAL QUE SE ENCUENTRA CUMPLIENDO EL SERVICIO MILITAR ACUARTELADO EN LOS INSTITUTOS DE LAS FUERZAS ARMADAS"""
22,4979,"""LEY QUE MODIFICA EL ARTÍCULO 2 Y LA PRIMERA DISPOSICION COMPLEMENTARIA FINAL DE LA LEY N° 31177, LEY QUE OTORGA BENEFICIOS A LOS EXCOMBATIENTES DE LAS FUERZAS ARMADAS DE LA LUCHA CONTRATERRORISTA, MODIFICANDO LA LEY 24053.","""PROPONE MODIFICAR EL ARTÍCULO 2 Y LA PRIMERA DISPOSICION COMPLEMENTARIA FINAL DE LA LEY N° 31177, LEY QUE OTORGA BENEFICIOS A LOS EXCOMBATIENTES DE LAS FUERZAS ARMADAS DE LA LUCHA CONTRATERRORISTA, MODIFICANDO LA LEY 24053.",POSITIVO,"""LEY QUE MODIFICA EL ARTÍCULO 2 Y LA PRIMERA DISPOSICION COMPLEMENTARIA FINAL DE LA LEY N° 31177, LEY QUE OTORGA BENEFICIOS A LOS EXCOMBATIENTES DE LAS FUERZAS ARMADAS DE LA LUCHA CONTRATERRORISTA, MODIFICANDO LA LEY 24053. ""PROPONE MODIFICAR EL ARTÍCULO 2 Y LA PRIMERA DISPOSICION COMPLEMENTARIA FINAL DE LA LEY N° 31177, LEY QUE OTORGA BENEFICIOS A LOS EXCOMBATIENTES DE LAS FUERZAS ARMADAS DE LA LUCHA CONTRATERRORISTA, MODIFICANDO LA LEY 24053."
23,9442,"""LEY QUE MODIFICA EL ARTÍCULO 28 DE LA LEY N° 32103, NORMATIVA SOBRE RELACIONES LABORALES EN EL SECTOR PÚBLICO, A FIN DE RESTABLECER EL EJERCICIO PLENO DEL DERECHO A LA","Propone modificar la normativa vigente, artículo 28°, numerales 28.1, 28.2 de la Ley 32103, sobre relaciones laborales en el sector público para restablecer el ejercicio pleno del derecho a la negociación colectiva descentralizada, a fin de permitir que los sindicatos y organizaciones de trabajadores negocien directamente con los empleadores sobre sus condiciones laborales específicas.",POSITIVO,"""LEY QUE MODIFICA EL ARTÍCULO 28 DE LA LEY N° 32103, NORMATIVA SOBRE RELACIONES LABORALES EN EL SECTOR PÚBLICO, A FIN DE RESTABLECER EL EJERCICIO PLENO DEL DERECHO A LA Propone modificar la normativa vigente, artículo 28°, numerales 28.1, 28.2 de la Ley 32103, sobre relaciones laborales en el sector público para restablecer el ejercicio pleno del derecho a la negociación colectiva descentralizada, a fin de permitir que los sindicatos y organizaciones de trabajadores negocien directamente con los empleadores sobre sus condiciones laborales específicas."
24,4702,"""LEY QUE MODIFICA LA LEY 29625, LEY DE DEVOLUCIÓN DE DINERO DEL FONAVI A LOS TRABAJADORES QUE CONTRIBUYERON AL MISMO, PERMITIENDO LA DEVOLUCIÓN PARCIAL CON CARGO A UNA POSTERIOR CANCELACIÓN Y RECONOCE EL DERECHO A LA DEVOLUCIÓN DE DINERO DE LOS TRABAJADORES QUE CONTRIBUYERON AL FONAVI A SUS HEREDEROS EN CASO DE FALLECIMIENTO""","""PROPONE MODIFICAR LA LEY 29625, LEY DE DEVOLUCIÓN DE DINERO DEL FONAVI A LOS TRABAJADORES QUE CONTRIBUYERON AL MISMO, PERMITIENDO LA DEVOLUCIÓN PARCIAL CON CARGO A UNA POSTERIOR CANCELACIÓN Y RECONOCE EL DERECHO A LA DEVOLUCIÓN DE DINERO DE LOS TRABAJADORES QUE CONTRIBUYERON AL FONAVI A SUS HEREDEROS EN CASO DE FALLECIMIENTO""",NEGATIVO,"""LEY QUE MODIFICA LA LEY 29625, LEY DE DEVOLUCIÓN DE DINERO DEL FONAVI A LOS TRABAJADORES QUE CONTRIBUYERON AL MISMO, PERMITIENDO LA DEVOLUCIÓN PARCIAL CON CARGO A UNA POSTERIOR CANCELACIÓN Y RECONOCE EL DERECHO A LA DEVOLUCIÓN DE DINERO DE LOS TRABAJADORES QUE CONTRIBUYERON AL FONAVI A SUS HEREDEROS EN CASO DE FALLECIMIENTO"" ""PROPONE MODIFICAR LA LEY 29625, LEY DE DEVOLUCIÓN DE DINERO DEL FONAVI A LOS TRABAJADORES QUE CONTRIBUYERON AL MISMO, PERMITIENDO LA DEVOLUCIÓN PARCIAL CON CARGO A UNA POSTERIOR CANCELACIÓN Y RECONOCE EL DERECHO A LA DEVOLUCIÓN DE DINERO DE LOS TRABAJADORES QUE CONTRIBUYERON AL FONAVI A SUS HEREDEROS EN CASO DE FALLECIMIENTO"""
